state_name_crime,district_name,total_crimes,Ranking,state_name_pop,Population,Growth,Sex-Ratio,Literacy,crime_rate_per_capita,safety_score
Himachal Pradesh,Kangra,2313.0,331.0,Himachal Pradesh,1510075.0,12.77 %,1012.0,85.67,153.171200105955,98.53024372593784
Himachal Pradesh,Kinnaur,190.0,619.0,Himachal Pradesh,84121.0,7.39 %,819.0,80.0,225.8651228587392,97.83270822985118
Himachal Pradesh,Kullu,806.0,554.0,Himachal Pradesh,437903.0,14.76 %,942.0,79.4,184.05902677076887,98.23385917713655
Himachal Pradesh,Mandi,1951.0,446.0,Himachal Pradesh,999777.0,10.92 %,1007.0,81.53,195.14351700429194,98.12749780467075
Himachal Pradesh,Shimla,1810.0,483.0,Himachal Pradesh,814010.0,12.67 %,915.0,83.64,222.35599071264483,97.8663801537159
Himachal Pradesh,Sirmaur,930.0,542.0,Himachal Pradesh,529855.0,15.54 %,918.0,78.8,175.51971765860472,98.3157982305296
Himachal Pradesh,Solan,826.0,531.0,Himachal Pradesh,580320.0,15.93 %,880.0,83.68,142.33526330300523,98.63422010067707
Himachal Pradesh,Una,1119.0,543.0,Himachal Pradesh,521173.0,16.26 %,976.0,86.53,214.70797604634163,97.93976677947937
Jammu And Kashmir,Anantnag,1256.0,422.0,Jammu and Kashmir,1078692.0,38.58 %,927.0,62.69,116.43731482202519,98.88272420744734
Jammu And Kashmir,Pulwama,399.0,537.0,Jammu and Kashmir,560440.0,27.00 %,912.0,63.48,71.19406180857898,99.31685643941717
Jammu And Kashmir,Bandipora,437.0,560.0,Jammu and Kashmir,392232.0,28.65 %,889.0,56.28,111.41365314405759,98.93092881944261
Jammu And Kashmir,Jammu,32.0,326.0,Jammu and Kashmir,1529958.0,12.74 %,880.0,83.45,2.0915606833651643,99.97993040183252
Jammu And Kashmir,Srinagar,40.0,388.0,Jammu and Kashmir,1236829.0,20.35 %,900.0,69.41,3.2340768206437587,99.96896737314422
Jammu And Kashmir,Doda,579.0,557.0,Jammu and Kashmir,409936.0,28.00 %,919.0,64.68,141.24155965809297,98.64471474845004
Jammu And Kashmir,Ganderbal,509.0,572.0,Jammu and Kashmir,297446.0,36.50 %,874.0,58.04,171.12349804670427,98.35798221389119
Jammu And Kashmir,Kupwara,624.0,471.0,Jammu and Kashmir,870354.0,33.82 %,835.0,64.51,71.69496549679785,99.31205001145975
Jammu And Kashmir,Jammu,3924.0,326.0,Jammu and Kashmir,1529958.0,12.74 %,880.0,83.45,256.47762879765327,97.53896552471235
Jammu And Kashmir,Kathua,943.0,520.0,Jammu and Kashmir,616435.0,20.53 %,890.0,73.09,152.97638842700366,98.53211304397674
Jammu And Kashmir,Kishtwar,383.0,586.0,Jammu and Kashmir,230696.0,20.88 %,920.0,56.2,166.01935014044457,98.4069591325533
Jammu And Kashmir,Kulgam,757.0,555.0,Jammu and Kashmir,424483.0,7.73 %,951.0,59.23,178.3345858373598,98.28878812573495
Jammu And Kashmir,Kupwara,686.0,471.0,Jammu and Kashmir,870354.0,33.82 %,835.0,64.51,78.81850373526174,99.24369600618812
Jammu And Kashmir,Pulwama,477.0,537.0,Jammu and Kashmir,560440.0,27.00 %,912.0,63.48,85.11169795160944,99.18330957794984
Jammu And Kashmir,Jammu,14.0,326.0,Jammu and Kashmir,1529958.0,12.74 %,880.0,83.45,0.9150577989722594,99.99121955080173
Jammu And Kashmir,Jammu,9.0,326.0,Jammu and Kashmir,1529958.0,12.74 %,880.0,83.45,0.5882514421964524,99.9943554255154
Jammu And Kashmir,Reasi,8.0,570.0,Jammu and Kashmir,314667.0,27.04 %,890.0,58.15,2.5423701881671734,99.97560465327383
Jammu And Kashmir,Rajouri,1396.0,514.0,Jammu and Kashmir,642415.0,32.93 %,860.0,68.17,217.30501311457544,97.91484687598337
Jammu And Kashmir,Ramban,644.0,573.0,Jammu and Kashmir,283713.0,31.99 %,902.0,54.27,226.98995111256798,97.82191492548219
Jammu And Kashmir,Reasi,724.0,570.0,Jammu and Kashmir,314667.0,27.04 %,890.0,58.15,230.08450202912923,97.79222112128221
Jammu And Kashmir,Samba,709.0,568.0,Jammu and Kashmir,318898.0,17.01 %,886.0,81.41,222.32814254087512,97.866647371216
Jammu And Kashmir,Srinagar,2588.0,388.0,Jammu and Kashmir,1236829.0,20.35 %,900.0,69.41,209.24477029565122,97.992189042431
Jammu And Kashmir,Udhampur,1305.0,538.0,Jammu and Kashmir,554985.0,20.78 %,870.0,68.49,235.14149031054893,97.74369672342326
